bus_name,gen_name,point,fuel,capacity
POINT COMFORT 2 8,gen-374,POINT (-96.5291 28.65932573690569),GT,137.88
GLEN ROSE 1 3,gen-213,POINT (-97.772915 32.279344270529684),ST,1458.0
BREMOND 0,gen-542,POINT (-96.68423 31.085759152857804),ST,209.52
CHANNELVIEW 1 10,gen-472,POINT (-95.10269000000001 29.802043474614997),GT,220.39
BRYAN 1 0,gen-543,POINT (-96.45 30.71551025762),GT,126.0
DEER PARK 9,DEER_PARK_ENERGY_CENTER_CC4,POINT (-95.12381600000002 29.710366140597316),CC,1016.0
BROWNSVILLE 1 0,SILAS_RAY_ST2,POINT (-97.51060000000001 25.906623725411485),ST,320.0
THOMPSONS 8,WA_PARISH_STG_U6,POINT (-95.62606 29.471204230354388),ST,814.0
CHANNELVIEW 1 9,POWER_SYSTEMS_ARCO_COGEN3_CC2,POINT (-95.10269000000001 29.8032930235391),CC,664.0
LAPORTE 10,EXTEX_LAPORTE_GEN_STN_CTG2,POINT (-95.05478700000002 29.712705935755206),GT,54.0
BROWNSVILLE 1 0,MAGIC_VALLEY_STATION_CC1,POINT (-97.51060000000001 25.906623725411485),CT,461.0
LAPORTE 8,SR_BERTRON_ST1,POINT (-95.05478700000002 29.7152072468607),ST,457.0
PASADENA 3 3,TEXAS_CITY_POWER_CC9,POINT (-95.04076 29.617179738104713),CC,524.0
SEGUIN 1 6,RIO_NOGALES_POWER_CC4,POINT (-97.968175 29.582725160287595),CC,960.0
FREEPORT 2 0,DOWGEN_UNIT5,POINT (-95.396681 28.98499101570269),GT,121.0
FREEPORT 2 0,DOWGEN_UNIT7,POINT (-95.396681 28.98499101570269),GT,121.0
PARIS 1 7,LAMAR_ENERGY_CENTER2_CC4,POINT (-95.57739999999998 33.600070709169),CC,702.0
SAN ANTONIO 2 9,LEON_CREEK_PEAKER_CTG_4,POINT (-98.60886 29.57481164891341),GT,59.0
GREGORY 4,INGLESIDE_CC3,POINT (-97.245817 27.869401479434597),CT,218.0
PALO PINTO 1 2,RW_MILLER_STG_U1,POINT (-98.29770000000002 32.639155116415594),ST,90.0
DEER PARK 10,DEER_PARK_ENERGY_CENTER_CC5,POINT (-95.12381600000002 29.709115432529103),CC,720.0
CHANNELVIEW 1 11,CHANNELVIEW_COGENERATION_PLANT_CC2,POINT (-95.10269000000001 29.8007939100825),CT,660.0
PASADENA 2 5,CHANNEL_ENERGY_CENTER2_CC1,POINT (-95.171439 29.715683312702804),CT,323.0
FREEPORT 1 6,FREEPORT_LNG_GT4,POINT (-95.3294 28.960515415952585),GT,149.0
TRINIDAD 1 0,TRINIDAD_ST1,POINT (-96.090477 32.1184211563178),ST,29400.0
SAN ANTONIO 2 7,LEON_CREEK_PEAKER_CTG_2,POINT (-98.60886 29.577316388379508),GT,55.0
AUSTIN 1 0,DECKER_CREEK_GT1,POINT (-97.838266 30.394866861665406),GT,73.0
DENTON 1 2,SPENCER_STG_U4,POINT (-97.10106 33.18996858231391),ST,68.0
LA GRANGE 3,FAYETTE_POWER_U1_J2,POINT (-96.738 29.900817133061903),ST,356.0
NURSERY 3,SAM_RAYBURN_GT1,POINT (-97.1224 28.874999173673),GT,13.0
MT. ENTERPRISE 4,TENASKA_GATEWAY_STATION_CC2,POINT (-94.607143 32.00485246901549),CT,73200.0
MISSION 1 3,HIDALGO_ENERGY_CENTER_CC2,POINT (-98.3866 26.14903925832189),CT,355.0
CEDAR CREEK 1 5,BASTROP_ENERGY_CENTER_CC3,POINT (-97.54496000000002 30.136771594285992),CC,687.0
SHIRO 5,TENASKA_FRONTIER_STATION_CC9,POINT (-95.90519999999998 30.57302985014232),CC,68879.0
ODESSA 1 1,ODESSA_ECTOR_POWER1_CC2,POINT (-102.31380000000001 31.808947319834704),CT,323.0
VICTORIA 2 4,VICTORIA_POWER2_CC1,POINT (-96.99740000000001 28.77173462930361),CC,364.0
CORPUS CHRISTI 1 4,NUECES_BAY_REPOWER_CC1,POINT (-97.45170000000002 27.800366799638997),CT,420.0
LAPORTE 12,EXTEX_LAPORTE_GEN_STN_CTG4,POINT (-95.05478700000002 29.71020456233079),GT,54.0
SAN ANTONIO 1 5,OW_SOMMERS_STG_U2,POINT (-98.33826000000002 29.419806707025803),ST,492.0
PARIS 2 2,PARIS_ENERGY_CENTER_CC1,POINT (-95.54510000000002 33.684069684954984),CT,156.0
FREEPORT 2 0,DOWGEN_UNIT3,POINT (-95.396681 28.98499101570269),GT,156.0
PALO PINTO 1 6,RW_MILLER_STG_U5,POINT (-98.29770000000002 32.6270282848396),ST,144.0
NEWGULF 2,TEXAS_GULF_SULPHUR,POINT (-95.88710000000002 29.250551754073413),GT,109.0
CHANNELVIEW 1 6,POWER_SYSTEMS_ARCO_COGEN2_CC1,POINT (-95.10269000000001 29.807041576657696),CT,592.0
