bus_name,gen_name,point,fuel,capacity
NEW BRAUNFELS 1 4,gen-337,POINT (-98.01776 29.73063536424969),GT,296.7
ROCKDALE 1 4,gen-297,POINT (-97.05143200000002 30.543395120510592),ST,793.8
HOUSTON 4 7,gen-416,POINT (-95.39032 29.710730290334997),GT,9.0
GRANBURY 2 2,gen-243,POINT (-97.695516 32.39545698610208),GT,107.28
SANTA ROSA 1 6,gen-147,POINT (-97.86341200000001 26.236589289888013),ST,33.6
SEGUIN 1 3,gen-304,POINT (-97.968175 29.586481951645997),GT,282.06
HOUSTON 6 0,gen-478,POINT (-95.215109 29.819702359047994),GT,86.4
BAYTOWN 1 6,gen-424,POINT (-94.90886 29.66407749898689),GT,214.2
ELMENDORF 7,gen-316,POINT (-98.37746 29.243821991832494),GT,357.6
LA GRANGE 4,gen-283,POINT (-96.738 29.897696281486102),ST,676.0
SANTA ROSA 1 2,gen-143,POINT (-97.86341200000001 26.249505030103),ST,28.2
LAPORTE 6,gen-395,POINT (-95.05478700000002 29.717708495644203),GT,247.86
THOMPSONS 7,gen-456,POINT (-95.62606 29.4724578910226),GT,821.04
MIDLOTHIAN 1 0,gen-260,POINT (-97.04938 32.42776911654429),GT,169.56
HOUSTON 3 2,gen-391,POINT (-95.63680900000001 29.715699801118316),GT,5.16
LA GRANGE 3,gen-282,POINT (-96.738 29.900817133061903),ST,676.0
AUSTIN 2 3,gen-320,POINT (-97.60786 30.204511022719487),GT,232.8
ALVIN 0,gen-497,POINT (-95.18288 29.422491490378206),GT,206.64
DEER PARK 5,gen-383,POINT (-95.12381600000002 29.715368817076214),GT,61.2
FREEPORT 2 0,gen-506,POINT (-95.396681 28.98499101570269),GT,120.62
DALLAS 1 4,gen-186,POINT (-96.63940400000001 32.6398201402831),GT,370.16
PALO PINTO 1 5,gen-250,POINT (-98.29770000000002 32.630060146814),GT,142.56
PALO PINTO 1 6,gen-251,POINT (-98.29770000000002 32.6270282848396),GT,142.56
SHERMAN 1 2,gen-64,POINT (-96.60529300000002 33.56982578902888),GT,321.28
MOUNT PLEASANT 1 5,gen-537,POINT (-95.02910000000001 33.072847528477894),ST,792.0
THOMPSONS 12,gen-461,POINT (-95.62606 29.466189432670404),GT,270.24
HOUSTON 4 6,gen-415,POINT (-95.39032 29.711980978288217),GT,42.0
LAREDO 1 2,gen-152,POINT (-99.49630000000002 27.553136129810902),GT,158.16
WHARTON 1 4,gen-441,POINT (-96.0557 29.2713145918019),GT,116.02
WHARTON 1 7,gen-444,POINT (-96.0557 29.2618931646043),GT,232.04
HOUSTON 5 9,gen-409,POINT (-95.52556 29.927661163320906),GT,105.26
POINT COMFORT 2 8,gen-374,POINT (-96.5291 28.65932573690569),GT,137.88
FREEPORT 1 3,gen-445,POINT (-95.3294 28.969964483562304),GT,149.37
BRIDGEPORT 2,gen-233,POINT (-97.90820000000001 33.1835960437718),GT,12.48
SAVOY 3,gen-42,POINT (-96.355005 33.612404490515004),GT,470.16
BROWNSVILLE 1 0,gen-175,POINT (-97.51060000000001 25.906623725411485),GT,320.4
SEGUIN 1 5,gen-306,POINT (-97.968175 29.583977439612106),GT,282.06
MARION 1 6,gen-279,POINT (-98.13686 29.6140723709441),GT,217.64
CHANNELVIEW 1 6,gen-468,POINT (-95.10269000000001 29.807041576657696),GT,128.72
SAN ANTONIO 2 9,gen-275,POINT (-98.60886 29.57481164891341),GT,68.88
ELMENDORF 4,gen-313,POINT (-98.37746 29.247591332742893),GT,219.6
DALLAS 1 9,gen-191,POINT (-96.63940400000001 32.63375697501),GT,370.16
GRANBURY 1 4,gen-226,POINT (-97.719086 32.32129145601041),GT,315.36
HOUSTON 6 0,gen-481,POINT (-95.215109 29.819702359047994),GT,172.8
FANNIN 2,gen-122,POINT (-97.192567 28.697012109351192),ST,746.88
BASTROP 3,gen-262,POINT (-97.2582 30.132368407185808),GT,255.6
GLEN ROSE 1 3,gen-213,POINT (-97.772915 32.279344270529684),ST,1458.0
HOUSTON 4 11,gen-420,POINT (-95.39032 29.705727382735684),GT,277.14
HOUSTON 5 7,gen-407,POINT (-95.52556 29.93015710127161),GT,132.72
FREEPORT 2 0,gen-508,POINT (-95.396681 28.98499101570269),GT,97.2
ODESSA 1 3,gen-28,POINT (-102.31380000000001 31.802828482374792),GT,230.56
