name,line,voltage
NATALIA 0-MOORE 0-i_545,"LINESTRING (-98.838565 29.197285948688712, -98.84229799999999 28.93543500017811",115.0
TRINIDAD 1 1-MABANK 2 0-i_970,"LINESTRING (-96.07967700000002 32.1184211563178, -96.094532 32.2716714175578",161.0
ODESSA 1 10-STERLING CITY 1 0-i_119,"LINESTRING (-102.2904 31.834183240019108, -100.9101 31.91998893462841",230.0
JACKSBORO 2 0-PERRIN 0-i_1129,"LINESTRING (-98.179154 33.213561437584, -98.04465400000001 33.0089453908934",161.0
SAN ANTONIO 13 0-SAN ANTONIO 12 1-i_1713,"LINESTRING (-98.411598 29.5355682875071, -98.398171 29.58335747258072",115.0
CORPUS CHRISTI 2 0-ODEM 0-i_645,"LINESTRING (-97.51909999999998 27.825832718387318, -97.670027 27.956564403993408",115.0
DALLAS 8 0-DALLAS 22 0-i_1139,"LINESTRING (-96.73303700000001 32.910215206749996, -96.789793 32.9002609349257",161.0
HOUSTON 29 0-HOUSTON 20 0-i_2319,"LINESTRING (-95.337809 29.86090238954111, -95.29638 29.860034367816805",115.0
ROYSE CITY 0-SACHSE 0-i_927,"LINESTRING (-96.371725 32.943086104883896, -96.577283 32.96659174761798",161.0
HOUSTON 4 2-HOUSTON 33 0-i_2339,"LINESTRING (-95.38095999999999 29.709792264146415, -95.360152 29.722391930254705",115.0
GORDON 0-DE LEON 0-i_1272,"LINESTRING (-98.32460400000001 32.58153629827119, -98.543257 32.2925078160736",161.0
BRAZORIA 0-WEST COLUMBIA 0-i_2705,"LINESTRING (-95.54927700000003 28.954272145878807, -95.674469 29.149328049449416",115.0
MONAHANS 1 0-MONAHANS 2 0-i_26,"LINESTRING (-102.92730000000002 31.57776630436199, -103.15204600000001 31.478445777491114",115.0
HOUSTON 46 0-HOUSTON 48 0-i_2648,"LINESTRING (-95.407483 29.7690450937819, -95.41333300000002 29.79574976054061",115.0
ALBANY 1 1-ABILENE 1 0-i_444,"LINESTRING (-99.3868 32.76224555758349, -99.6384 32.5083283490131",230.0
CYPRESS 1 0-BRENHAM 0-i_1774,"LINESTRING (-95.66512399999999 29.995280759578108, -96.399472 30.208852977826588",500.0
SAN ANTONIO 37 2-SAN ANTONIO 40 0-i_1628,"LINESTRING (-98.56513100000001 29.494187974427106, -98.567679 29.458138371104788",115.0
KATY 2 0-HOUSTON 90 1-i_2761,"LINESTRING (-95.737823 29.743180448514394, -95.65128000000001 29.824987491167203",230.0
SPRING 4 0-HOUSTON 57 0-i_2496,"LINESTRING (-95.467089 30.0568143073412, -95.443009 29.950133625814704",115.0
CYPRESS 1 0-KATY 1 0-i_2304,"LINESTRING (-95.66512399999999 29.995280759578108, -95.72943600000002 29.835062743090106",500.0
CORPUS CHRISTI 4 0-CORPUS CHRISTI 7 0-i_531,"LINESTRING (-97.260242 27.620741728063198, -97.355165 27.656136791549095",115.0
FORT WORTH 6 0-FORT WORTH 7 0-i_1310,"LINESTRING (-97.265832 32.72162406924979, -97.269357 32.746676750210995",161.0
DENTON 1 1-DENTON 4 0-i_832,"LINESTRING (-97.09170000000002 33.1950900168082, -97.106282 33.2291599548535",161.0
AUSTIN 12 0-AUSTIN 5 0-i_1832,"LINESTRING (-97.703253 30.385495623362097, -97.641082 30.353171801902604",115.0
KATY 3 1-KATY 1 1-i_2308,"LINESTRING (-95.820931 29.738129322559097, -95.725116 29.835062743090106",230.0
WACO 6 0-VALLEY MILLS 0-i_1173,"LINESTRING (-97.20689300000001 31.620992150715207, -97.497079 31.656030460492712",161.0
HOUSTON 14 0-HOUSTON 25 0-i_2550,"LINESTRING (-95.24879300000002 29.687322056705803, -95.320621 29.616210288273706",115.0
PORT LAVACA 1-REFUGIO 0-i_797,"LINESTRING (-96.7973 28.5643765708885, -96.890059 28.28480684691641",115.0
HOUSTON 82 0-HOUSTON 68 0-i_2428,"LINESTRING (-95.58003400000001 29.810188121261906, -95.48805 29.794371726120797",115.0
AUSTIN 6 0-AUSTIN 2 2-i_1640,"LINESTRING (-97.65560000000002 30.239865928657895, -97.5985 30.2023331259326",115.0
MIDLOTHIAN 1 1-MIDLOTHIAN 2 0-i_1392,"LINESTRING (-97.04506000000002 32.42776911654429, -96.98711 32.46683717017669",161.0
GLEN ROSE 1 0-STEPHENVILLE 0-i_935,"LINESTRING (-97.767515 32.29227880069791, -98.18591700000002 32.2761477179342",500.0
ROSCOE 1 0-ROSCOE 3 0-i_478,"LINESTRING (-100.5707 32.49082716730502, -100.6391 32.392220519816696",115.0
CORPUS CHRISTI 17 0-CORPUS CHRISTI 10 0-i_657,"LINESTRING (-97.50979100000002 27.764866145544396, -97.39013500000001 27.761649957265284",115.0
DALLAS 5 0-DALLAS 11 0-i_1069,"LINESTRING (-96.68572100000002 32.7646972403154, -96.74276200000001 32.76821333597079",161.0
SCHERTZ 0-SAN ANTONIO 5 0-i_1862,"LINESTRING (-98.25904200000001 29.544562510412298, -98.356683 29.553532732784014",115.0
HOUSTON 47 0-HOUSTON 56 0-i_2438,"LINESTRING (-95.412498 29.732312177526314, -95.45000900000001 29.737578308820204",115.0
SPRING 8 0-HOUSTON 5 1-i_2344,"LINESTRING (-95.543891 30.192495730313592, -95.5162 29.9392043515847",230.0
ZAPATA 0-FALCON HEIGHTS 1 0-i_609,"LINESTRING (-99.153765 26.924509634514596, -99.1552 26.551059519006003",115.0
IOLA 0-BRYAN 3 0-i_3180,"LINESTRING (-96.08742800000002 30.7198975392566, -96.30308399999998 30.7915511441138",115.0
HOUSTON 67 0-HOUSTON 69 0-i_2490,"LINESTRING (-95.48639300000002 29.915198749571104, -95.49245800000001 29.954738741390297",115.0
DALLAS 8 0-RICHARDSON 1 0-i_1141,"LINESTRING (-96.73303700000001 32.910215206749996, -96.659463 32.9891413645929",161.0
